iter	MAE
0	4.010568265
1	3.927308283
2	3.842942136
3	3.767872826
4	3.696251959
5	3.623027801
6	3.553626416
7	3.48803499
8	3.432638051
9	3.374168987
10	3.312152248
11	3.256139573
12	3.200374317
13	3.143669781
14	3.089443957
15	3.036944488
16	2.98519513
17	2.942489698
18	2.892228044
19	2.84741838
20	2.805335756
21	2.764443872
22	2.723548701
23	2.681598776
24	2.64385101
25	2.617053505
26	2.584189622
27	2.563537068
28	2.530933122
29	2.503140308
30	2.473692082
31	2.44941468
32	2.417084695
33	2.395425397
34	2.367135151
35	2.341742727
36	2.321485102
37	2.2947956
38	2.280042549
39	2.260761602
40	2.239277529
41	2.22089615
42	2.199368915
43	2.185121735
44	2.171318359
45	2.154767521
46	2.136560921
47	2.120806004
48	2.103112833
49	2.086078167
50	2.069102131
51	2.053825386
52	2.038525969
53	2.02506412
54	2.013684849
55	2.000671987
56	1.989246546
57	1.977124502
58	1.965144346
59	1.955290986
60	1.946383941
61	1.933896758
62	1.924608088
63	1.916434668
64	1.908969813
65	1.89836568
66	1.887382581
67	1.879034459
68	1.872677035
69	1.863940378
70	1.857361871
71	1.849113735
72	1.841081081
73	1.833919276
74	1.824323591
75	1.816795013
76	1.808163462
77	1.802032182
78	1.795321815
79	1.790584537
80	1.782265027
81	1.774347163
82	1.769657576
83	1.764408439
84	1.759221384
85	1.752944921
86	1.748927386
87	1.741944373
88	1.735773602
89	1.731808555
90	1.728090619
91	1.723779285
92	1.720047834
93	1.714924521
94	1.711048777
95	1.705753933
96	1.702414477
97	1.69917556
98	1.694698592
99	1.691419024
100	1.689751804
101	1.686128941
102	1.681659806
103	1.677331623
104	1.672595028
105	1.668649309
106	1.666740989
107	1.664249108
108	1.66241937
109	1.660452993
110	1.656812315
111	1.653302882
112	1.651835179
113	1.65009546
114	1.646602396
115	1.644795328
116	1.642531584
117	1.641017062
118	1.638392368
119	1.6350615
120	1.632725786
121	1.62921692
122	1.626295364
123	1.623717102
124	1.622024764
125	1.620672987
126	1.617913205
127	1.615583243
128	1.613787835
129	1.612042886
130	1.609392919
131	1.608164377
132	1.606130783
133	1.605311862
134	1.603174652
135	1.601283753
136	1.599681824
137	1.598601435
138	1.597538784
139	1.597052639
140	1.595798092
141	1.594174193
142	1.592859747
143	1.591194469
144	1.590102053
145	1.589188185
146	1.587918626
147	1.58658137
148	1.584392229
149	1.583010887
150	1.581569273
151	1.581305162
152	1.580027155
153	1.578426719
154	1.576864149
155	1.575329376
156	1.574481973
157	1.573628611
158	1.572868811
159	1.572466244
160	1.571193359
161	1.569814177
162	1.567834384
163	1.566992372
164	1.566198757
165	1.565746904
166	1.564197798
167	1.562398605
168	1.561736454
169	1.561010866
170	1.560788201
171	1.559819506
172	1.559308979
173	1.558401009
174	1.556945176
175	1.556224999
176	1.555383836
177	1.554396449
178	1.553063684
179	1.552639156
180	1.551768476
181	1.550430428
182	1.548876346
183	1.548147528
184	1.546839612
185	1.546175903
186	1.545423382
187	1.544589719
188	1.543493972
189	1.543133046
190	1.542565623
191	1.541910119
192	1.540481595
193	1.539838855
194	1.539371966
195	1.538567409
196	1.537673485
197	1.536872312
198	1.535973654
199	1.535967501
