iter	Passed	Remaining
0	57	11387
1	60	6002
2	65	4291
3	68	3366
4	70	2764
5	72	2355
6	74	2062
7	76	1844
8	78	1663
9	79	1512
10	81	1405
11	83	1301
12	85	1224
13	87	1156
14	88	1095
15	90	1044
16	92	999
17	94	957
18	96	921
19	98	888
20	100	859
21	102	831
22	104	807
23	106	783
24	109	763
25	111	743
26	113	724
27	114	703
28	116	686
29	118	670
30	120	656
31	122	642
32	124	629
33	125	613
34	127	601
35	129	590
36	131	579
37	133	568
38	135	559
39	137	549
40	139	540
41	141	531
42	143	522
43	144	510
44	146	503
45	148	495
46	149	487
47	151	478
48	152	470
49	154	464
50	156	457
51	158	451
52	160	444
53	162	438
54	164	433
55	166	427
56	168	421
57	169	415
58	171	410
59	173	404
60	175	400
61	177	395
62	179	390
63	181	385
64	183	381
65	185	376
66	187	371
67	189	367
68	191	363
69	193	358
70	195	354
71	197	350
72	198	346
73	200	340
74	201	336
75	203	332
76	205	328
77	207	324
78	208	319
79	210	315
80	212	312
81	214	308
82	215	304
83	217	300
84	219	296
85	221	292
86	222	289
87	224	286
88	226	282
89	228	279
90	230	276
91	231	272
92	233	268
93	235	265
94	237	262
95	238	258
96	240	255
97	241	251
98	244	248
99	245	245
100	246	242
101	249	239
102	250	236
103	252	232
104	254	230
105	256	227
106	258	225
107	261	222
108	263	219
109	265	217
110	267	214
111	276	217
112	278	214
113	284	214
114	286	211
115	288	208
116	290	206
117	292	203
118	294	200
119	296	197
120	297	193
121	299	191
122	301	188
123	303	186
124	305	183
125	307	180
126	309	177
127	311	175
128	313	172
129	314	169
130	315	166
131	317	163
132	319	160
133	320	158
134	322	155
135	324	152
136	326	150
137	327	147
138	329	144
139	331	142
140	333	139
141	335	137
142	337	134
143	339	132
144	341	129
145	343	127
146	346	124
147	347	122
148	349	119
149	351	117
150	353	114
151	354	111
152	356	109
153	358	107
154	360	104
155	362	102
156	364	99
157	365	97
158	367	94
159	369	92
160	370	89
161	372	87
162	373	84
163	375	82
164	376	79
165	378	77
166	380	75
167	382	72
168	384	70
169	386	68
170	387	65
171	388	63
172	391	61
173	393	58
174	395	56
175	397	54
176	399	51
177	401	49
178	402	47
179	404	44
180	406	42
181	408	40
182	410	38
183	411	35
184	413	33
185	415	31
186	417	29
187	419	26
188	421	24
189	423	22
190	424	20
191	426	17
192	427	15
193	429	13
194	431	11
195	433	8
196	435	6
197	437	4
198	439	2
199	440	0
