iter	MAE
0	4.021193604
1	3.940679524
2	3.855036262
3	3.776295685
4	3.69790436
5	3.620002818
6	3.553240159
7	3.481273576
8	3.429919426
9	3.364361702
10	3.306492815
11	3.25093284
12	3.194164878
13	3.158213937
14	3.108653268
15	3.054619273
16	3.002722562
17	2.953779308
18	2.904739567
19	2.870664191
20	2.829882371
21	2.790194862
22	2.74824779
23	2.713525975
24	2.674198998
25	2.63906272
26	2.604843
27	2.571493878
28	2.537469681
29	2.504881757
30	2.477155759
31	2.452946922
32	2.427008018
33	2.402115788
34	2.37436897
35	2.350436577
36	2.326521358
37	2.302848105
38	2.281215098
39	2.265193235
40	2.244266228
41	2.22606026
42	2.207293324
43	2.18624749
44	2.168586986
45	2.15038361
46	2.130080879
47	2.116713506
48	2.102761545
49	2.086246879
50	2.071419386
51	2.057338527
52	2.044366414
53	2.030219161
54	2.018289618
55	2.005397187
56	1.993607332
57	1.981158248
58	1.970897509
59	1.957375658
60	1.945122579
61	1.935217557
62	1.922495696
63	1.909511116
64	1.90181715
65	1.894006573
66	1.882753119
67	1.875263365
68	1.868998519
69	1.863105704
70	1.855594996
71	1.846027977
72	1.837382468
73	1.830856134
74	1.82371839
75	1.816185157
76	1.811625711
77	1.803958906
78	1.799226149
79	1.792455234
80	1.786523344
81	1.779266885
82	1.774034556
83	1.769547134
84	1.762401525
85	1.755863903
86	1.752783309
87	1.747815384
88	1.741931412
89	1.735279478
90	1.7316562
91	1.727632836
92	1.722492271
93	1.719274851
94	1.716057646
95	1.713462954
96	1.708746402
97	1.705281733
98	1.700275956
99	1.695475233
100	1.69229172
101	1.68990943
102	1.686680013
103	1.682387674
104	1.680496333
105	1.675733651
106	1.673851041
107	1.671947166
108	1.667747388
109	1.665401473
110	1.662061171
111	1.658202513
112	1.653950784
113	1.65150165
114	1.648635664
115	1.645847797
116	1.643823164
117	1.640312883
118	1.638540967
119	1.635669036
120	1.6327436
121	1.630310463
122	1.628357043
123	1.625667543
124	1.622517466
125	1.620123052
126	1.617885615
127	1.615021752
128	1.613682846
129	1.612391601
130	1.610458567
131	1.608157642
132	1.606299718
133	1.604626607
134	1.601801738
135	1.600083955
136	1.599434563
137	1.598676221
138	1.596955038
139	1.595580663
140	1.594268372
141	1.592251275
142	1.590925731
143	1.589775276
144	1.58863999
145	1.588055051
146	1.586519442
147	1.584983388
148	1.583992944
149	1.582811634
150	1.581994401
151	1.581025495
152	1.580082285
153	1.579294775
154	1.578091948
155	1.577330735
156	1.576004474
157	1.57592858
158	1.575838016
159	1.57452893
160	1.57300304
161	1.571514292
162	1.570409182
163	1.569659761
164	1.569176155
165	1.568285118
166	1.56749716
167	1.566547362
168	1.566230344
169	1.565379315
170	1.564267713
171	1.563397267
172	1.562083018
173	1.560692706
174	1.559476335
175	1.558838118
176	1.557808873
177	1.556843318
178	1.555982479
179	1.554910436
180	1.553277187
181	1.552452375
182	1.551687022
183	1.550847044
184	1.549872951
185	1.549307021
186	1.548737909
187	1.547916535
188	1.547379249
189	1.545854788
190	1.544262972
191	1.543489218
192	1.542936945
193	1.542442157
194	1.541225609
195	1.540432713
196	1.538815154
197	1.53754117
198	1.537062055
199	1.536391612
