iter	Passed	Remaining
0	56	11327
1	62	6206
2	66	4362
3	69	3396
4	71	2789
5	73	2387
6	75	2081
7	77	1858
8	78	1675
9	80	1532
10	81	1405
11	83	1311
12	85	1233
13	87	1158
14	89	1101
15	91	1047
16	93	1001
17	95	961
18	96	923
19	98	889
20	100	857
21	102	830
22	104	803
23	106	779
24	108	756
25	109	735
26	111	717
27	113	699
28	115	682
29	117	666
30	118	648
31	121	635
32	122	621
33	124	607
34	126	595
35	128	583
36	129	572
37	131	561
38	133	550
39	135	543
40	137	534
41	139	525
42	141	517
43	143	508
44	145	499
45	146	491
46	149	485
47	151	478
48	152	471
49	154	463
50	156	457
51	158	450
52	160	444
53	162	438
54	164	433
55	166	427
56	168	421
57	170	417
58	171	410
59	173	405
60	175	400
61	177	395
62	179	390
63	181	385
64	183	381
65	185	376
66	186	370
67	188	366
68	189	360
69	191	356
70	193	351
71	195	347
72	197	342
73	198	338
74	200	334
75	202	330
76	204	326
77	205	322
78	207	318
79	209	314
80	211	310
81	213	306
82	214	302
83	216	298
84	218	295
85	219	291
86	221	288
87	223	284
88	225	281
89	227	277
90	229	274
91	231	271
92	233	268
93	234	264
94	236	260
95	237	257
96	239	254
97	241	251
98	242	247
99	244	244
100	246	241
101	247	238
102	249	235
103	251	232
104	253	228
105	254	225
106	256	223
107	258	220
108	260	217
109	261	214
110	264	211
111	266	209
112	268	206
113	270	204
114	272	201
115	274	198
116	276	196
117	278	193
118	280	190
119	282	188
120	284	185
121	285	182
122	287	179
123	289	177
124	291	175
125	293	172
126	295	169
127	297	167
128	299	164
129	301	162
130	303	159
131	305	157
132	307	154
133	309	152
134	311	149
135	313	147
136	315	144
137	317	142
138	318	139
139	320	137
140	321	134
141	323	132
142	325	129
143	326	127
144	328	124
145	330	122
146	332	119
147	334	117
148	335	114
149	337	112
150	339	110
151	341	107
152	343	105
153	345	103
154	347	100
155	348	98
156	350	96
157	351	93
158	352	90
159	354	88
160	356	86
161	358	84
162	360	81
163	362	79
164	364	77
165	366	74
166	368	72
167	369	70
168	371	68
169	372	65
170	374	63
171	376	61
172	378	59
173	379	56
174	381	54
175	383	52
176	384	50
177	386	47
178	388	45
179	389	43
180	391	41
181	392	38
182	393	36
183	394	34
184	396	32
185	397	29
186	398	27
187	400	25
188	402	23
189	404	21
190	406	19
191	408	17
192	410	14
193	412	12
194	413	10
195	415	8
196	416	6
197	418	4
198	419	2
199	421	0
